time_tag,satellite,flux,energy
2024-08-13T07:50:00Z,16,4.0,>=2 MeV
2024-08-13T07:55:00Z,16,4.0,>=2 MeV
2024-08-13T08:00:00Z,16,38.85582733,>=2 MeV
2024-08-13T08:05:00Z,16,4.0,>=2 MeV
2024-08-13T08:10:00Z,16,41.21665955,>=2 MeV
2024-08-13T08:15:00Z,16,4.0,>=2 MeV
2024-08-13T08:20:00Z,16,12.86858749,>=2 MeV
2024-08-13T08:25:00Z,16,41.14945984,>=2 MeV
2024-08-13T08:30:00Z,16,4.0,>=2 MeV
2024-08-13T08:35:00Z,16,4.0,>=2 MeV
2024-08-13T08:40:00Z,16,4.0,>=2 MeV
2024-08-13T08:45:00Z,16,4.0,>=2 MeV
2024-08-13T08:50:00Z,16,4.0,>=2 MeV
2024-08-13T08:55:00Z,16,4.0,>=2 MeV
2024-08-13T09:00:00Z,16,31.87338066,>=2 MeV
2024-08-13T09:05:00Z,16,4.0,>=2 MeV
2024-08-13T09:10:00Z,16,4.0,>=2 MeV
2024-08-13T09:15:00Z,16,4.0,>=2 MeV
2024-08-13T09:20:00Z,16,4.0,>=2 MeV
2024-08-13T09:25:00Z,16,16.66286469,>=2 MeV
2024-08-13T09:30:00Z,16,4.0,>=2 MeV
2024-08-13T09:35:00Z,16,4.0,>=2 MeV
2024-08-13T09:40:00Z,16,52.1841011,>=2 MeV
2024-08-13T09:45:00Z,16,4.0,>=2 MeV
2024-08-13T09:50:00Z,16,4.0,>=2 MeV
2024-08-13T09:55:00Z,16,4.0,>=2 MeV
2024-08-13T10:00:00Z,16,4.0,>=2 MeV
2024-08-13T10:05:00Z,16,4.0,>=2 MeV
2024-08-13T10:10:00Z,16,4.0,>=2 MeV
2024-08-13T10:15:00Z,16,4.0,>=2 MeV
2024-08-13T10:20:00Z,16,4.0,>=2 MeV
2024-08-13T10:25:00Z,16,4.0,>=2 MeV
2024-08-13T10:30:00Z,16,7.147505283,>=2 MeV
2024-08-13T10:35:00Z,16,4.0,>=2 MeV
2024-08-13T10:40:00Z,16,47.40802002,>=2 MeV
2024-08-13T10:45:00Z,16,4.0,>=2 MeV
2024-08-13T10:50:00Z,16,4.0,>=2 MeV
2024-08-13T10:55:00Z,16,12.25177097,>=2 MeV
2024-08-13T11:00:00Z,16,14.71349621,>=2 MeV
2024-08-13T11:05:00Z,16,4.0,>=2 MeV
2024-08-13T11:10:00Z,16,4.0,>=2 MeV
2024-08-13T11:15:00Z,16,4.0,>=2 MeV
2024-08-13T11:20:00Z,16,4.0,>=2 MeV
2024-08-13T11:25:00Z,16,4.0,>=2 MeV
2024-08-13T11:30:00Z,16,58.93672562,>=2 MeV
2024-08-13T11:35:00Z,16,25.2927227,>=2 MeV
2024-08-13T11:40:00Z,16,15.11326408,>=2 MeV
2024-08-13T11:45:00Z,16,67.82296753,>=2 MeV
2024-08-13T11:50:00Z,16,4.0,>=2 MeV
2024-08-13T11:55:00Z,16,14.55632401,>=2 MeV
2024-08-13T12:00:00Z,16,4.0,>=2 MeV
2024-08-13T12:05:00Z,16,4.0,>=2 MeV
2024-08-13T12:10:00Z,16,25.23388863,>=2 MeV
2024-08-13T12:15:00Z,16,4.0,>=2 MeV
2024-08-13T12:20:00Z,16,4.0,>=2 MeV
2024-08-13T12:25:00Z,16,4.0,>=2 MeV
2024-08-13T12:30:00Z,16,4.0,>=2 MeV
2024-08-13T12:35:00Z,16,4.0,>=2 MeV
2024-08-13T12:40:00Z,16,4.0,>=2 MeV
2024-08-13T12:45:00Z,16,45.59648132,>=2 MeV
2024-08-13T12:50:00Z,16,4.0,>=2 MeV
2024-08-13T12:55:00Z,16,4.0,>=2 MeV
2024-08-13T13:00:00Z,16,4.0,>=2 MeV
2024-08-13T13:05:00Z,16,4.0,>=2 MeV
2024-08-13T13:10:00Z,16,4.0,>=2 MeV
2024-08-13T13:15:00Z,16,4.0,>=2 MeV
2024-08-13T13:20:00Z,16,4.0,>=2 MeV
2024-08-13T13:25:00Z,16,4.0,>=2 MeV
2024-08-13T13:30:00Z,16,4.0,>=2 MeV
2024-08-13T13:35:00Z,16,4.0,>=2 MeV
2024-08-13T13:40:00Z,16,4.0,>=2 MeV
