time_tag,satellite,flux,energy
2024-08-13T00:00:00Z,18,0.155671045,>=10 MeV
2024-08-13T00:05:00Z,18,0.15667069,>=10 MeV
2024-08-13T00:10:00Z,18,0.198338166,>=10 MeV
2024-08-13T00:15:00Z,18,0.171004936,>=10 MeV
2024-08-13T00:20:00Z,18,0.171004921,>=10 MeV
2024-08-13T00:25:00Z,18,0.147004172,>=10 MeV
2024-08-13T00:30:00Z,18,0.15633744,>=10 MeV
2024-08-13T00:35:00Z,18,0.183671892,>=10 MeV
2024-08-13T00:40:00Z,18,0.2026712,>=10 MeV
2024-08-13T00:45:00Z,18,0.160337925,>=10 MeV
2024-08-13T00:50:00Z,18,0.174004987,>=10 MeV
2024-08-13T00:55:00Z,18,0.18867141,>=10 MeV
2024-08-13T01:00:00Z,18,0.17400448,>=10 MeV
2024-08-13T01:05:00Z,18,0.188338071,>=10 MeV
2024-08-13T01:10:00Z,18,0.177337945,>=10 MeV
2024-08-13T01:15:00Z,18,0.179671004,>=10 MeV
2024-08-13T01:20:00Z,18,0.155004308,>=10 MeV
2024-08-13T01:25:00Z,18,0.191670522,>=10 MeV
2024-08-13T01:30:00Z,18,0.17500475,>=10 MeV
2024-08-13T01:35:00Z,18,0.193005025,>=10 MeV
2024-08-13T01:40:00Z,18,0.19333826,>=10 MeV
2024-08-13T01:45:00Z,18,0.177004501,>=10 MeV
2024-08-13T01:50:00Z,18,0.139337018,>=10 MeV
2024-08-13T01:55:00Z,18,0.150337011,>=10 MeV
2024-08-13T02:00:00Z,18,0.195671409,>=10 MeV
2024-08-13T02:05:00Z,18,0.168337718,>=10 MeV
2024-08-13T02:10:00Z,18,0.198338047,>=10 MeV
2024-08-13T02:15:00Z,18,0.192671418,>=10 MeV
2024-08-13T02:20:00Z,18,0.19733806,>=10 MeV
2024-08-13T02:25:00Z,18,0.17567119,>=10 MeV
2024-08-13T02:30:00Z,18,0.175337777,>=10 MeV
2024-08-13T02:35:00Z,18,0.173337564,>=10 MeV
2024-08-13T02:40:00Z,18,0.179338172,>=10 MeV
2024-08-13T02:45:00Z,18,0.173671409,>=10 MeV
2024-08-13T02:50:00Z,18,0.151003614,>=10 MeV
2024-08-13T02:55:00Z,18,0.159670591,>=10 MeV
2024-08-13T03:00:00Z,18,0.193671584,>=10 MeV
2024-08-13T03:05:00Z,18,0.153337136,>=10 MeV
2024-08-13T03:10:00Z,18,0.15800415,>=10 MeV
2024-08-13T03:15:00Z,18,0.190337718,>=10 MeV
2024-08-13T03:20:00Z,18,0.171004221,>=10 MeV
2024-08-13T03:25:00Z,18,0.126669824,>=10 MeV
2024-08-13T03:30:00Z,18,0.174337909,>=10 MeV
2024-08-13T03:35:00Z,18,0.196338415,>=10 MeV
2024-08-13T03:40:00Z,18,0.16600439,>=10 MeV
2024-08-13T03:45:00Z,18,0.155337483,>=10 MeV
2024-08-13T03:50:00Z,18,0.159337327,>=10 MeV
2024-08-13T03:55:00Z,18,0.167337388,>=10 MeV
2024-08-13T04:00:00Z,18,0.19267109,>=10 MeV
2024-08-13T04:05:00Z,18,0.162004322,>=10 MeV
2024-08-13T04:10:00Z,18,0.184670895,>=10 MeV
2024-08-13T04:15:00Z,18,0.154004142,>=10 MeV
2024-08-13T04:20:00Z,18,0.167671189,>=10 MeV
2024-08-13T04:25:00Z,18,0.150003746,>=10 MeV
2024-08-13T04:30:00Z,18,0.183671385,>=10 MeV
2024-08-13T04:35:00Z,18,0.163004056,>=10 MeV
2024-08-13T04:40:00Z,18,0.162004068,>=10 MeV
2024-08-13T04:45:00Z,18,0.190004557,>=10 MeV
2024-08-13T04:50:00Z,18,0.181338131,>=10 MeV
2024-08-13T04:55:00Z,18,0.203672081,>=10 MeV
2024-08-13T05:00:00Z,18,0.16967088,>=10 MeV
2024-08-13T05:05:00Z,18,0.16433768,>=10 MeV
2024-08-13T05:10:00Z,18,0.183671609,>=10 MeV
2024-08-13T05:15:00Z,18,0.178004801,>=10 MeV
2024-08-13T05:20:00Z,18,0.165004149,>=10 MeV
2024-08-13T05:25:00Z,18,0.185338333,>=10 MeV
2024-08-13T05:30:00Z,18,0.184338376,>=10 MeV
2024-08-13T05:35:00Z,18,0.172004461,>=10 MeV
2024-08-13T05:40:00Z,18,0.200338319,>=10 MeV
2024-08-13T05:45:00Z,18,0.158337429,>=10 MeV
2024-08-13T05:50:00Z,18,0.162337422,>=10 MeV
2024-08-13T05:55:00Z,18,0.195004836,>=10 MeV
2024-08-13T06:00:00Z,18,0.170337945,>=10 MeV
2024-08-13T06:05:00Z,18,0.167004496,>=10 MeV
2024-08-13T06:10:00Z,18,0.156336859,>=10 MeV
2024-08-13T06:15:00Z,18,0.181671739,>=10 MeV
2024-08-13T06:20:00Z,18,0.182671368,>=10 MeV
2024-08-13T06:25:00Z,18,0.194004938,>=10 MeV
2024-08-13T06:30:00Z,18,0.180671468,>=10 MeV
